id,repo,title,family_id,disposition,previously_exposed,bounded_claim,challenge,screening_reason,reference_url,code_urls,disclosure_review,fixture_status
N11,netbox,Released migrations have a policy exception for bug correction,netbox/migration-authority,control,True,A code snapshot does not establish release status or the authorised bug-correction exception; request the policy and release history.,Contrast unreleased consolidation and a released migration bug; neither authority can be invented from file age.,Released migration policy and its exception require external authority.,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/docs/development/extending-models.md#L30,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/dcim/migrations/0188_racktype.py#L11,Pending semantic review; lexical triage recorded,Not built
N12,netbox,Pre-change snapshots precede edits for correct change logging,netbox/change-logging,advance,True,"For an existing object supporting change logging, capture the pre-edit state before mutation so the change record has the correct before state. Some managed paths do this centrally.",Compare manual script mutation with a managed path that already captures the snapshot; detect late snapshots.,Pre-edit state capture with managed-path exceptions.,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/docs/customization/custom-scripts.md#L221,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/netbox/models/features.py#L49 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/netbox/api/viewsets/__init__.py#L34 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/core/signals.py#L1 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/dcim/models/racks.py#L39,Pending semantic review; lexical triage recorded,Not built
N13,netbox,Permission constraint composition,netbox/permissions,advance,False,Conditions within an object intersect; alternative objects and applicable permission grants combine as alternatives.,Distinguish two restrictive attributes in one grant from two separate grants; do not accidentally turn an OR into an AND.,"Crosses permission collection and query construction; related to N14, not an independent subsystem.",https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/docs/administration/permissions.md#L32,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/utilities/permissions.py#L86 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/netbox/authentication/__init__.py#L92,Pending semantic review; lexical triage recorded,Not built
N14,netbox,Permission checks on the resulting saved state,netbox/permissions,advance,False,"For these API writes, save and check the resulting restricted queryset inside a transaction so changes that escape allowed scope are rolled back.",Move an otherwise editable object outside its permitted region; contrast a valid in-scope update.,Causal transaction and access-control interaction; limit claims to inspected write paths.,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/docs/administration/permissions.md#L113,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/netbox/api/viewsets/__init__.py#L166 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/netbox/api/viewsets/__init__.py#L186,Pending semantic review; lexical triage recorded,Not built
N15,netbox,Outbound event actions are deferred selectively,netbox/background-events,advance,False,Webhook delivery and custom-script execution are enqueued; event-rule evaluation and notification creation are not universally moved to a worker by this code.,A slow outbound webhook versus an in-process notification action; do not generalize queueing to every step of event processing.,"Source narrows the broad documentation: inspect each action branch. Supports a scoped request/worker boundary, not blanket asynchronous execution.",https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/docs/features/event-rules.md#L32,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/extras/events.py#L156 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/extras/events.py#L121,Pending semantic review; lexical triage recorded,Not built
N16,netbox,Idempotent scheduling with explicit on-demand jobs,netbox/job-scheduling,advance,False,Schedule creation checks pending jobs under an advisory lock; on-demand enqueue remains permitted and a changed schedule can replace a pending one.,Concurrent repeated schedule requests versus an explicit immediate job; reject a universal one-job-ever rule.,Substantive concurrency and lifecycle interpretation; runnable concurrency fixture still needed.,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/docs/plugins/development/background-jobs.md#L43,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/netbox/jobs.py#L130 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/netbox/jobs.py#L129,Pending semantic review; lexical triage recorded,Not built
N17,netbox,Plugin queues require workers that service them,netbox/job-scheduling,advance,False,Defining a custom plugin queue does not itself establish that a worker services it; queue configuration and worker subscription are separate.,A successfully enqueued plugin task never executes under default worker subscriptions.,Boundary between application registration and deployment; must include worker configuration as allowed evidence.,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/docs/plugins/development/background-jobs.md#L127,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/netbox/settings.py#L766 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/core/management/commands/rqworker.py#L8,Pending semantic review; lexical triage recorded,Not built
N18,netbox,Custom fields stored alongside model records,netbox/custom-fields,calibration,False,"Custom field values are stored in the object's JSON field, separate from the definitions of those fields.",Distinguish per-object values from field definitions; do not invent a measured performance benefit.,Storage representation is mostly local extraction; published performance rationale needs separate attribution.,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/docs/customization/custom-fields.md#L7,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/netbox/models/features.py#L166,Pending semantic review; lexical triage recorded,Not built
N19,netbox,System-job registration depends on importing its module,netbox/plugin-startup,advance,False,A registration decorator takes effect when its module is imported; plugin startup must make declared system jobs reachable.,"Add a valid decorated job in an unimported module, then contrast startup that imports it.",Crosses declaration and initialization; source discovery alone cannot show a job is registered.,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/docs/plugins/development/background-jobs.md#L93,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/netbox/jobs.py#L21 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/netbox/plugins/__init__.py#L100,Pending semantic review; lexical triage recorded,Not built
N20,netbox,Custom-field requiredness and defaults,netbox/custom-fields,advance,False,Custom field definitions and model validation jointly constrain values; requiredness applies to relevant saves and defaults do not make every supplied value valid.,"Save a required field missing, with a valid default, and with an invalid explicit value through a validation-aware path.",Schema/data interaction; avoid claiming every raw ORM save performs validation.,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/docs/customization/custom-fields.md#L29,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/netbox/models/features.py#L162 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/extras/models/customfields.py#L662,Pending semantic review; lexical triage recorded,Not built
N21,netbox,Final newline style rule,netbox/formatting,reject,False,The project asks for a final newline.,A file with or without a trailing newline.,A linter-level formatting rule adds little evidence about substantive interpretation; rejected from the architecture inventory.,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/docs/development/style-guide.md#L13,,Pending semantic review; lexical triage recorded,Not built
W01,wagtail,Page permissions propagate down the tree,wagtail/page-permissions,advance,False,A grant at an ancestor governs descendants; a root grant reaches the whole tree subject to other action-specific checks.,A user edits a descendant but not a sibling outside the granted subtree.,Structural scope with a meaningful negative case.,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/docs/topics/permissions.md#L26,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/permission_policies/pages.py#L9 ; https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/models/pages.py#L2324,Pending semantic review; lexical triage recorded,Not built
W02,wagtail,Add permission combines with page ownership,wagtail/page-permissions,advance,False,"Add permission can allow editing owned pages; deletion has additional subtree and publication checks, so edit permission alone is not an unconditional deletion guarantee.","An editor creates drafts, edits their own draft, and tries to delete a live subtree without publishing rights.",Reference language requires qualification against code; grouped with W01.,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/docs/topics/permissions.md#L28,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/models/pages.py#L2365 ; https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/models/pages.py#L2390,Pending semantic review; lexical triage recorded,Not built
W03,wagtail,Chooser visibility is not content secrecy,wagtail/asset-access,advance,False,"Choose permissions filter selection interfaces; reading document contents has separate privacy and serving requirements, and image secrecy is not established by the chooser.",A hidden chooser item is referenced directly; evaluate content-serving checks separately.,Distinct UI and content access boundaries; never score UI filtering as full authorization.,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/docs/topics/permissions.md#L52,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/permission_policies/collections.py#L207 ; https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/documents/views/serve.py#L18 ; https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/documents/wagtail_hooks.py#L165,Pending semantic review; lexical triage recorded,Not built
W04,wagtail,Document privacy depends on the serving route,wagtail/asset-access,advance,False,Application serving checks cannot protect a file also exposed by a direct storage URL; deployment configuration is part of the boundary.,Compare protected serve_view access with a publicly reachable storage URL.,Requires controlled storage fixture; application code alone cannot prove deployment privacy.,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/docs/advanced_topics/documents/storing_and_serving.md#L33,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/documents/views/serve.py#L18 ; https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/documents/models.py#L165 ; https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/documents/wagtail_hooks.py#L165,Pending semantic review; lexical triage recorded,Not built
W05,wagtail,Collection management cannot remove its permission anchor,wagtail/collection-management,advance,False,Management grants allow operations below their anchor; deleting a collection also requires it to be empty and childless.,Delete an empty descendant versus the grant anchor or a collection with descendants.,Permission scope interacts with hierarchy integrity.,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/docs/topics/permissions.md#L66,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/permission_policies/collections.py#L391 ; https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/admin/views/collections.py#L134,Pending semantic review; lexical triage recorded,Not built
W06,wagtail,Revision persistence needs clustered relationships,wagtail/revision-content,defer,False,Revision serialization must include unsaved child and many-to-many state; documented clustered relationships support that boundary.,Save a draft with changed child relations and compare restored content with ordinary database relations.,"Key semantics live in django-modelcluster, not this checkout; dependency source must be pinned and audited before advancing.",https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/docs/topics/snippets/features.md#L151,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/models/revisions.py#L384 ; https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/models/revisions.py#L346,Pending semantic review; lexical triage recorded,Not built
W07,wagtail,Draft snippets need explicit live filtering at use sites,wagtail/snippet-publishing,advance,False,A snippet's draft state does not automatically exclude it from all page rendering; consumers must apply the intended live-state handling.,Render a page referencing an unpublished snippet and compare a live-aware implementation.,Lifecycle state versus downstream consumption; no universal enforcement inferred from the mixin.,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/docs/topics/snippets/features.md#L253,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/models/draft_state.py#L13 ; https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/snippets/views/snippets.py#L508,Pending semantic review; lexical triage recorded,Not built
W08,wagtail,Workflow support composes revisions and publishing,wagtail/workflow-composition,advance,False,Workflow-enabled models require revision and draft-state support in the appropriate inheritance order; locking is recommended rather than universally mandatory.,A workflow mixin on a plain model versus the complete required composition; permit omission of optional locking.,"Dependency and exception reasoning, with existing checks as evaluator evidence kept out of drafter inputs.",https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/docs/topics/snippets/features.md#L296,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/models/workflows.py#L1196 ; https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/models/draft_state.py#L56,Pending semantic review; lexical triage recorded,Not built
W09,wagtail,Lockable mixin ordering,wagtail/workflow-composition,merge,False,Lockable and revision mixins have an enforced ordering when composed.,Swap mixin order while keeping names unchanged.,Merge into W08 as a challenge variant; do not count it as an independent architectural decision.,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/docs/topics/snippets/features.md#L284,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/models/locking.py#L40,Pending semantic review; lexical triage recorded,Not built
W10,wagtail,Translation identity is shared across locales,wagtail/translation,advance,False,Translation siblings share a key but each locale permits only one member; identity is not determined by title or path alone.,Create a second translation in the same locale versus a translation in a new locale.,Data invariant connected to lookup behavior.,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/docs/advanced_topics/i18n.md#L70,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/models/i18n.py#L177 ; https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/models/i18n.py#L287,Pending semantic review; lexical triage recorded,Not built
W11,wagtail,Locale-specific page trees and homepages,wagtail/translation,advance,False,"Wagtail's built-in locale model uses related pages in locale-specific trees, with routing selecting the appropriate translated homepage.",Two locale homepages with different child structures; avoid assuming every page must have a translated counterpart.,"Crosses tree and routing; correlated with W10, not a new repository-level replication.",https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/docs/advanced_topics/i18n.md#L78,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/models/pages.py#L1410 ; https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/models/i18n.py#L247,Pending semantic review; lexical triage recorded,Not built
W12,wagtail,Rich-text storage is distinct from rendered HTML,wagtail/rich-text,advance,False,Stored rich text retains entity references and must be expanded for rendering; final HTML is not the full storage contract.,A stored page link after the target URL changes; compare reference expansion with a hard-coded URL.,Representation boundary with a meaningful lifecycle challenge.,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/docs/extending/rich_text_internals.md#L20,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/rich_text/__init__.py#L52 ; https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/rich_text/rewriters.py#L173,Pending semantic review; lexical triage recorded,Not built
W13,wagtail,StreamField block validation is a form-layer operation,wagtail/stream-validation,advance,False,Block clean methods perform recursive validation through the form field; model full_clean alone does not establish valid block content.,Insert invalid block content programmatically versus through BlockField validation.,Boundary and recursive validation; include draft deferred-validation conditions in fixture review.,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/docs/advanced_topics/streamfield_validation.md#L36,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/blocks/base.py#L790 ; https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/blocks/struct_block.py#L311 ; https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/fields.py#L110,Pending semantic review; lexical triage recorded,Not built
W14,wagtail,Search indexes require synchronization with model changes,wagtail/search-indexing,defer,False,Automatic index updates use configured signals and can be disabled; bulk or alternate write paths require checking whether those hooks run.,Ordinary save versus a write path that bypasses signals; contrast explicit rebuild.,At this snapshot the implementation is re-exported from modelsearch. Pin and inspect that dependency and backend before advancing; local import stubs are insufficient evidence.,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/docs/topics/search/indexing.md#L17,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/search/signal_handlers.py#L1 ; https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/search/index.py#L1,Pending semantic review; lexical triage recorded,Not built
W15,wagtail,Search fields and filter fields serve different purposes,wagtail/search-indexing,defer,False,A filter field is not automatically a full-text search field.,Search a field registered only for filtering.,"A mostly local interface distinction, with its actual classes now supplied by modelsearch; defer pending dependency evidence and likely retain only as calibration.",https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/docs/topics/search/indexing.md#L125,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/search/index.py#L1,Pending semantic review; lexical triage recorded,Not built
W16,wagtail,Renditions preserve originals and reuse derived representations,wagtail/image-renditions,advance,False,Renditions are derived image files looked up using transformation and source-related identity; producing one does not replace the original image.,"Request the same rendition twice, then change a focal point or filter; check reuse and distinct derived output.","Derived-artifact lifecycle; exact cache identity comes from code evidence, not invented rationale.",https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/docs/advanced_topics/images/renditions.md#L6,https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/images/models.py#L533 ; https://github.com/wagtail/wagtail/blob/bddc5eaf2e77d6777b11d0e8cd4a3b62cf707417/wagtail/images/models.py#L569,Pending semantic review; lexical triage recorded,Not built
