"issue","closedAt","pr","fate","clause","title"
"22954","2026-08-19T19:05:26Z","22970","EXCLUDED","2a no test file in diff","Several info panels omit nested group and platform hierarchies"
"22929","2026-08-19T18:53:23Z","22932","EXCLUDED","2a no test file in diff","SideNav initializes for both the vertical sidebar and the top header"
"22973","2026-08-19T18:42:42Z",,"EXCLUDED","1 no single merged fixing PR (count=0)","4.7 ltree migrations depend on the caller's search_path, breaking branch migrations"
"22957","2026-08-18T20:41:49Z","22962","EXCLUDED","2a no test file in diff","Device role, Platform, and Power Panel breadcrumbs omit ancestors"
"22922","2026-08-18T20:40:32Z","22928","SURVIVOR","","`handle_location_site_change()` does not honor current database connection"
"22967","2026-08-18T18:40:22Z","22968","SURVIVOR","","Moving a Location to a different Site leaves CircuitTermination cached scope fields stale"
"22963","2026-08-18T16:19:15Z","22965","SURVIVOR","","Counter cache signal handlers ignore the saving database connection"
"22944","2026-08-18T14:52:53Z","22955","EXCLUDED","2a no test file in diff","Virtual Machine info panel doesn't display nested roles"
"22889","2026-08-18T13:30:47Z","22907","SURVIVOR","","Config revision form text areas no longer render in monospace font"
"22939","2026-08-14T14:45:18Z",,"EXCLUDED","4d not closed-as-completed","Bulk Tenant Edit to null on IP Addresses is not working"
"22923","2026-08-13T17:56:25Z","22926","SURVIVOR","","`event_tracking()` leaves current_request and query_cache set when the wrapped block raises"
"22796","2026-08-13T04:52:49Z",,"EXCLUDED","4d not closed-as-completed","The Interface tab for virtual machines does not reflect the actual number."
"22683","2026-08-12T21:22:53Z","22784","SURVIVOR","","Validation Errors referencing fields will error bulk import forms."
"22909","2026-08-12T18:24:50Z",,"EXCLUDED","1 no single merged fixing PR (count=0)","Deferred search flush doesn't tolerate a column that changed out from under it (undefined_column)"
"22789","2026-08-12T04:52:15Z",,"EXCLUDED","4d not closed-as-completed","Requesting available IPs from range returns assigned IPs when prefix not matched"
"22812","2026-08-11T23:17:16Z","22867","SURVIVOR","","Deleting scripts that contain lots of depencies causes high memory usage, which can cause memory exhaustion"
"22745","2026-08-11T12:09:15Z","22777","SURVIVOR","","ScriptViewSet REST API allows unauthorized DELETE/PUT/PATCH"
"22852","2026-08-10T18:02:26Z","22870","SURVIVOR","","Scripts run from Event Rules ignore notifications_default setting"
"22894","2026-08-10T17:47:37Z","22895","SURVIVOR","","CustomLinkColumn does not sanitize exception messages"
"22882","2026-08-10T14:52:03Z","22892","SURVIVOR","","`DISTINCT` filter has no effect on nested GraphQL list fields"
"22805","2026-08-10T14:04:18Z","22809","SURVIVOR","","ldap_config.py is re-executed on every permission check"
"22879","2026-08-07T19:21:31Z","22885","EXCLUDED","2a no test file in diff","Unselected radio/check boxes are difficult to see in dark mode"
"22694","2026-08-07T11:40:58Z","22764","EXCLUDED","2a no test file in diff","When edit device's site property, rack property not be cleared"
"22821","2026-08-06T20:08:43Z","22830","SURVIVOR","","Deleting a Tenant Group causes Django IntegrityError when duplicate tenant names exist"
"22825","2026-08-05T20:10:56Z","22859","SURVIVOR","","CablePath crashes / NoReverseMatch when a path originates from a CircuitTermination in a pure passive (FrontPort/RearPort-only) network"
"22865","2026-08-04T19:30:53Z",,"EXCLUDED","1 no single merged fixing PR (count=0)","GraphQL type for InventoryItemTemplate references incorrect component types"
"22844","2026-08-04T17:54:27Z","22850","SURVIVOR","","/api/extras/custom-field-choice-sets/  ""base_choices"": null is not valid"
"22848","2026-08-03T16:58:26Z","22849","SURVIVOR","","Duplicate CARP ipaddress, API with pagination returns one object/id twice instead of the other"
"22854","2026-08-03T16:13:41Z","22855","EXCLUDED","2a no test file in diff","Error using GraphQL web UI when debugging is enabled"
"22828","2026-08-03T15:46:25Z","22832","SURVIVOR","","Webhook payload_url accepts values that are not valid URLs (or URL templates), only failing at dispatch time"
"22800","2026-07-30T17:03:55Z","22806","SURVIVOR","","CircuitGroupAssignmentsPanel not filtered by Circuit Type"
"22738","2026-07-29T21:27:11Z","22785","SURVIVOR","","Filter validation for available IPs does not handle custom field constraints for linked objects correctly."
"22661","2026-07-29T05:23:02Z",,"EXCLUDED","4d not closed-as-completed","uwsgi not working with Python3.12 (and therefore with Netbox4.5+)"
"22752","2026-07-28T14:02:43Z","22776","SURVIVOR","","Front ports import, rear ports field missing"
"22690","2026-07-28T13:32:59Z","22794","EXCLUDED","2a no test file in diff","Left border missing on quick search"
"22790","2026-07-28T08:51:16Z","22791","SURVIVOR","","BaseFilterSet applies SavedFilter parameters without shared/owner visibility check"
"22768","2026-07-27T19:02:54Z","22780","SURVIVOR","","Cable removal stores an empty string instead of null in endpoint `cable_end`"
"22766","2026-07-27T19:01:39Z","22778","SURVIVOR","","GraphQL `length` lookup for shared array filters maps to unsupported `__length` transform"
"22767","2026-07-27T17:30:14Z","22781","EXCLUDED","2a no test file in diff","Comments are not included in the global search indexes for several models"
"22773","2026-07-27T14:27:10Z","22782","SURVIVOR","","Bulk adding Module Bays to Devices raises a TypeError"
"22775","2026-07-25T15:52:10Z",,"EXCLUDED","4d not closed-as-completed","Tags are silently discarded when bulk importing Contact Assignments"
"22761","2026-07-23T19:45:38Z",,"EXCLUDED","4d not closed-as-completed","Webhook sender follows redirects with no IP/scheme re-check on hop"
"22737","2026-07-23T18:00:30Z","22755","SURVIVOR","","Deleting a profiled cable leaves stale connector metadata on cable endpoints"
"22748","2026-07-23T14:56:24Z","22749","SURVIVOR","","ContentTypeField accepts arbitrary ContentType (including non-public NetBox internals)"
"22746","2026-07-23T12:47:16Z",,"EXCLUDED","4d not closed-as-completed","Outbound webhook headers do not escape control characters"
"22697","2026-07-22T23:45:09Z","22741","SURVIVOR","","Using Cancel button in Add Script screen returns to root page"
"22588","2026-07-22T19:44:11Z","22684","SURVIVOR","","Any vlan can be assigned to prefix if Scope Site Group is Selected for prefix"
"22736","2026-07-22T18:58:49Z","22739","EXCLUDED","2a no test file in diff","ASN comments field is not included in global search index"
"22720","2026-07-22T15:43:27Z","22740","SURVIVOR","","Deleting a virtual chassis with a cross-chassis LAG raises TypeError instead of a protected-deletion error"
"22729","2026-07-22T15:38:23Z","22730","EXCLUDED","2a no test file in diff","Content-Disposition filename injection via unescaped object names"
"22677","2026-07-22T09:17:38Z","22733","EXCLUDED","2a no test file in diff","Form validation errors are silently dropped for fields without HTML5 constraints"
"22719","2026-07-22T02:05:19Z","22724","SURVIVOR","","REST API returns 500 instead of a validation error for malformed IP address and prefix values"
"22717","2026-07-21T15:27:56Z","22725","SURVIVOR","","Device validation raises KeyError when assigned cluster is scoped to a different location"
"22707","2026-07-20T17:46:30Z","22710","SURVIVOR","","Port mapping causes error when {vc_position} is used on device type templates"
"22712","2026-07-20T12:50:23Z","22713","EXCLUDED","2a no test file in diff","Dropdown fields are not highlighted when validation fails"
"22682","2026-07-18T08:35:09Z","22693","SURVIVOR","","Deleting a SiteGroup cascade-deletes prefixes scoped to member sites"
"22591","2026-07-18T05:08:16Z",,"EXCLUDED","4d not closed-as-completed","IP Address assignment to network device port"
"21988","2026-07-17T18:40:06Z",,"EXCLUDED","1 no single merged fixing PR (count=2)","Authorization bypass in nested object resolution via unrestricted nested lookup filters"
"22675","2026-07-15T02:18:08Z","22676","SURVIVOR","","RSS feed widget renders unvalidated entry.link scheme, enabling javascript: DOM-XSS"
"22656","2026-07-14T21:25:45Z","22680","EXCLUDED","2a no test file in diff","Interface attributes are not pre-populated when clicking ""Create & Add Another"""
"22644","2026-07-14T21:20:35Z","22645","SURVIVOR","","Front/rear port mappings are not recorded in the changelog"
"22654","2026-07-14T19:44:20Z","22655","SURVIVOR","","ConfigTemplate debug mode exposes server filesystem paths in rendered error output"
"22513","2026-07-14T17:46:55Z","22547","SURVIVOR","","JournalEntry.created_by can be reassigned on update via REST API and bulk import (audit-trail spoofing)"
"22565","2026-07-14T16:53:35Z","22666","SURVIVOR","","Cable tracers calculated total length, does not take Circuit lenght in account"
"22662","2026-07-14T16:25:57Z","22668","SURVIVOR","","Cable length exceeds field limit causes 500 error instead of validation"
"22667","2026-07-13T08:45:58Z",,"EXCLUDED","4d not closed-as-completed","Netbox (Left Menu) Resets"
"22461","2026-07-12T05:24:04Z",,"EXCLUDED","4d not closed-as-completed","Jinja2 sandbox bypass in Export Templates and Custom Links"
"17954","2026-07-12T05:03:57Z",,"EXCLUDED","4d not closed-as-completed","Cable bulk import when importing circuit terminations"
"22652","2026-07-11T16:37:53Z","22653","SURVIVOR","","SandboxedEnvironment in render_jinja2() does not explicitly disable autoescape"
"22657","2026-07-10T15:26:41Z","22658","SURVIVOR","","render_widget template tag interpolates raw exception message into mark_safe HTML"
"22617","2026-07-08T15:23:01Z","22618","SURVIVOR","","Bulk import incorrectly asserts ""add"" permission for object mutations"
"22632","2026-07-08T13:56:21Z","22633","SURVIVOR","","Object-level permission check raises `ValueError` for cross-app proxy models"
"22539","2026-07-07T18:56:56Z","22628","EXCLUDED","2a no test file in diff","Button showing available IPs in prefix is missing if user permissions has constraints"
"22566","2026-07-07T16:18:35Z","22625","SURVIVOR","","Custom script whose filename matches a core app label shadows that app in sys.modules"
"22626","2026-07-07T13:49:38Z","22627","SURVIVOR","","Custom link name not escaped properly when render fails"
"22622","2026-07-07T09:01:09Z",,"EXCLUDED","4d not closed-as-completed","/core/background-queues/ edpoint raises ValueError when reading RQ scheduler PID"
"22573","2026-07-06T17:36:38Z","22601","EXCLUDED","2a no test file in diff","Persistent scrollbar on navigation menu in Chrome"
"22598","2026-07-06T15:18:22Z","22612","EXCLUDED","2a no test file in diff","ValueError when viewing Background Tasks with rq 2.10"
"22500","2026-07-06T14:54:24Z","22562","SURVIVOR","","Maintenance mode message discarded for REST API requests"
"22568","2026-07-06T14:41:33Z","22602","SURVIVOR","","Non-integer `filter_id` query parameter raises an uncaught ValueError (HTTP 500) on object lists"
"22582","2026-07-05T16:09:00Z","22610","EXCLUDED","2a no test file in diff","Interface list row separators are a harsh bright grey line in dark mode"
"22578","2026-07-03T18:35:46Z","22606","SURVIVOR","","REST API does not honor the shared/owner visibility that the UI enforces for SavedFilter and TableConfig"
"22521","2026-07-02T11:51:19Z","22550","EXCLUDED","2a no test file in diff","Virtual Machine Type: Use RAM_BASE_UNIT for default memory"
"22154","2026-06-30T20:05:37Z","22472","SURVIVOR","","OpenAPI: BriefRack.required lists ""device_count"" but the runtime response omits it"
"22561","2026-06-29T15:40:45Z","22564","SURVIVOR","","importing IP addresses fails"
"22560","2026-06-29T11:08:49Z",,"EXCLUDED","4d not closed-as-completed","Sidebar scroll position resets to top on every navigation"
"22501","2026-06-29T08:45:32Z","22552","SURVIVOR","","GraphQL 500 responses render HTML instead of JSON"
"22530","2026-06-26T17:26:44Z","22541","EXCLUDED","2a no test file in diff","Hidden `<select>` inputs announced by screen reader (A11Y-4493)"
"22543","2026-06-26T17:19:13Z","22554","SURVIVOR","","Re-uploading a same-named custom script via REST deletes the existing script's file"
"22529","2026-06-26T17:14:08Z","22540","EXCLUDED","2a no test file in diff","Left sidebar accordion not operable with spacebar (A11Y-4485)"
"22470","2026-06-26T16:04:03Z",,"EXCLUDED","4d not closed-as-completed","Tagged-objects REST API should respect target object view permissions"
"22528","2026-06-26T12:22:18Z","22535","EXCLUDED","2a no test file in diff","Results/Filters tabs not keyboard operable (A11Y-4487)"
"22532","2026-06-26T10:08:16Z","22545","EXCLUDED","2a no test file in diff","Empty table header cell in Results (A11Y-4491)"
"22533","2026-06-25T16:40:01Z",,"EXCLUDED","4d not closed-as-completed","Row-select checkboxes have no programmatic label (A11Y-4490)"
"22531","2026-06-25T16:04:58Z","22542","SURVIVOR","","""Saved Filter"" combobox label not announced by screen readers (A11Y-4492)"
"22527","2026-06-25T11:35:35Z","22534","EXCLUDED","2a no test file in diff","Quick search results are not announced (A11Y-4488)"
"22523","2026-06-24T18:06:27Z",,"EXCLUDED","4d not closed-as-completed","Disk size (MB) divided by 1000 when displayed in GB"
"22515","2026-06-24T12:44:13Z",,"EXCLUDED","4d not closed-as-completed","ImageAttachment/JournalEntry REST serializers allow writing to parent objects the user cannot view"
"22514","2026-06-24T12:44:09Z",,"EXCLUDED","4d not closed-as-completed","REST API serializes generic-FK targets without a view-permission check"
"22512","2026-06-24T12:44:06Z",,"EXCLUDED","4d not closed-as-completed","CustomFieldsDataField renders OBJECT/MULTIOBJECT custom-field targets without restrict() (read-path disclosure)"
"22511","2026-06-24T12:44:03Z",,"EXCLUDED","4d not closed-as-completed","Several alter_object() views resolve parent objects without restrict() (object-level IDOR)"
"22489","2026-06-23T17:58:17Z","22506","SURVIVOR","","Virtual Chassis reference on Device is not updated when Virtual Chassi changes name"
"22507","2026-06-22T20:03:35Z","22508","SURVIVOR","","`restrict()` and `IsSuperuser` superuser bypass should also check `is_active`"
"21310","2026-06-22T10:35:40Z","22492","SURVIVOR","","LDAP group-lookup fails with row containing null"
"22496","2026-06-21T14:17:28Z",,"EXCLUDED","4d not closed-as-completed","Owner of Device is not shown in Device view"
"22439","2026-06-19T07:38:48Z","22469","SURVIVOR","","custom_links templatetag queries CustomLink without .restrict(), bypassing object-level permissions"
"22440","2026-06-18T21:09:35Z","22494","EXCLUDED","2a no test file in diff","GraphQL ""Cannot resolve keyword 'changelog' into field."""
"22480","2026-06-18T21:09:05Z","22493","SURVIVOR","","Front/rear images of devices no longer open in browser, only download"
"22372","2026-06-18T05:54:01Z",,"EXCLUDED","4d not closed-as-completed","Device Interface List empty"
"22466","2026-06-16T15:03:16Z","22467","SURVIVOR","","Tests error when using a PostgreSQL database with SSL enabled"
"22427","2026-06-16T13:25:11Z","22426","SURVIVOR","","GraphQL JSONFilter.path allows ORM operator injection over JSONField contents"
"22448","2026-06-16T11:43:53Z","22449","EXCLUDED","2a no test file in diff","`handle_protectederror()` does not escape object representations on error"
"22454","2026-06-15T20:24:12Z","22460","EXCLUDED","2a no test file in diff","Decimal custom fields sent as text when saved, creates unneccesary changelog"
"22346","2026-06-15T12:51:07Z","22420","SURVIVOR","","Render SSO/SAML authentication failures as a login-page message instead of an HTTP 500 ""Server Error"""
"22397","2026-06-14T14:34:53Z","22406","SURVIVOR","","AttributeError when logged out user tries to export devices"
"22444","2026-06-14T00:10:30Z","22445","EXCLUDED","2a no test file in diff","KeyError 'V' on PowerFeed detail view when locale is not en-us"
"22333","2026-06-13T23:42:23Z","22350","EXCLUDED","2b/4c no non-test non-migration python source in diff","Query count failure in users.tests.test_api.UserTestCase"
"22278","2026-06-13T05:45:35Z",,"EXCLUDED","4d not closed-as-completed","Device import - updating existing device Site fails with a strange error"
"22303","2026-06-12T12:38:35Z","22434","EXCLUDED","2a no test file in diff","OpenAPI schema is missing `fields` param"
"22429","2026-06-11T20:30:28Z","22424","SURVIVOR","","Constrained grant_token ObjectPermissions are silently bypassed in the REST API"
"22431","2026-06-10T17:16:14Z","22432","SURVIVOR","","Token.generate() uses non-CSPRNG random.choice()  tokens are predictable"
"22428","2026-06-10T17:10:59Z",,"EXCLUDED","4d not closed-as-completed","ImageAttachment upload accepts polyglot files that can carry non-image payloads"
"22273","2026-06-10T16:27:51Z","22401","SURVIVOR","","Application Service: OperationalError when adding a new service with more than approx. 2000 ports"
"22376","2026-06-09T17:55:21Z","22398","SURVIVOR","","Event rule script job fails with AssertionError when DeviceType has an image attached"
"22415","2026-06-09T12:32:28Z",,"EXCLUDED","4d not closed-as-completed","Does not increment power ports amount when power supply module inserted with CLI script call Module.objects.create()"
"22399","2026-06-08T14:05:41Z","22400","SURVIVOR","","MediaView should enforce permissions on the related object when serving static content"
"22237","2026-06-04T19:59:00Z","22385","SURVIVOR","","Server error when opening the standalone ""Add Table Configuration"" page"
"22388","2026-06-04T18:55:19Z","22389","EXCLUDED","2a no test file in diff","NetBox may fail to start with Redis <6.0"
"22379","2026-06-04T12:36:14Z",,"EXCLUDED","4d not closed-as-completed","Custom script results not displayed for non-superuser accounts."
"22373","2026-06-04T11:52:12Z",,"EXCLUDED","4d not closed-as-completed","`vid_ranges` field changelog representation of the VLANGoup model is not JSON serializable when starting Custom Script by Webhook via API with changelog in request body"
"22324","2026-06-03T18:06:21Z","22366","SURVIVOR","","`CustomFieldChoiceSet.extra_choices` GraphQL filter uses a flat array lookup for a nested array field"
"22357","2026-06-03T11:19:48Z","22364","EXCLUDED","2a no test file in diff","dcim.Module should not inherit from ConfigContextModel"
"21895","2026-06-03T11:14:40Z","22252","SURVIVOR","","Log output for job limited to 50 rows"
"22358","2026-06-03T11:08:23Z","22368","EXCLUDED","2a no test file in diff","fix broken get_0u_devices() function"
"22370","2026-06-03T07:33:11Z",,"EXCLUDED","4d not closed-as-completed","redis-8.0.0 incompatibility"
"22245","2026-06-03T01:19:44Z","22275","EXCLUDED","2a no test file in diff","Bulk Patch/Put OpenAPI Schema Doesn't Include ID Field"
"21338","2026-06-02T20:41:55Z","22360","SURVIVOR","","Interface webhook data does not include connected endpoints when a cable connection is made"
"22210","2026-06-02T20:30:18Z","22327","SURVIVOR","","Saved Filter doesn't work in additional tabs"
"22340","2026-06-02T18:21:29Z","22365","EXCLUDED","2a no test file in diff","Token allowed IPs is shown as list of IPNetwork objects, not as comma-separated strings"
"22330","2026-06-02T17:35:47Z",,"EXCLUDED","4d not closed-as-completed","Regression in v4.5: child device Position panel no longer shows parent's rack U / face"
"22251","2026-06-02T15:25:58Z","22336","SURVIVOR","","Moving a multi-bay module does not move its children"
"22310","2026-06-02T13:44:18Z","22337","EXCLUDED","2a no test file in diff","Warning about missing project-static/docs shown during upgrade.sh"
"22180","2026-06-02T10:56:48Z","22348","SURVIVOR","","Adding Custom Scripts via Data Source bypasses validate_script_content creating a broken script that cannot be updated."
"22158","2026-06-01T18:18:32Z","22342","SURVIVOR","","ConfigRevision queries stay in DB, expending all connections"
"22328","2026-05-29T13:23:04Z","22329","SURVIVOR","","DynamicMultipleChoiceField missing else: self.choices = [] in get_bound_field(), causing OOM crash with large choice sets"
"22270","2026-05-29T00:05:32Z","22331","SURVIVOR","","Deleting an object with reverse SET_NULL relations records UPDATE ObjectChange after DELETE"
"21091","2026-05-29T00:03:01Z","22314","EXCLUDED","2a no test file in diff","Request/response type for ""render config of device/VM"""
"22325","2026-05-28T19:47:56Z","22326","SURVIVOR","","AttributeError when creating a Custom Field Choice Set with base choices"
"22301","2026-05-28T18:26:02Z","22323","SURVIVOR","","Name conflict when multiple plugins introduce taggable models of the same name"
"22287","2026-05-28T16:53:02Z","22312","EXCLUDED","2a no test file in diff","GraphQL `EventRuleFilter.action_object_type` typed as string lookup against a ContentType FK"
"22286","2026-05-28T15:47:28Z","22313","EXCLUDED","2a no test file in diff","GraphQL ConfigContextProfileFilter name and description should be Optional"
"22282","2026-05-28T15:29:28Z","22284","SURVIVOR","","`fetch()` method on S3Backend does not reliably resolve object keys"
"22187","2026-05-28T15:02:05Z","22316","SURVIVOR","","Cable Profile - Cable retrace bug"
"22307","2026-05-28T13:08:00Z","22308","SURVIVOR","","`grant_token` enforcement in UI is inconsistent with REST API"
"22283","2026-05-27T19:27:50Z","22285","SURVIVOR","","ScriptResultView does not adequately restrict Job queryset"
"22152","2026-05-27T05:42:21Z",,"EXCLUDED","4d not closed-as-completed","django.db.utils.ProgrammingError: relation ""dcim_location_pkey"" already exists"
"22233","2026-05-22T14:17:30Z","22262","SURVIVOR","","site_id filter on /api/dcim/cables/ returns no results when both endpoints are circuits.circuittermination"
"22232","2026-05-22T13:56:24Z","22258","SURVIVOR","","Duplicate background jobs"
"22219","2026-05-22T13:21:08Z","22257","SURVIVOR","","InlineFields rows missing required field indicator (asterisk)"
"22228","2026-05-21T00:39:48Z","22244","SURVIVOR","","VLANGroup.save() doesn't validate vid_ranges bounds metadata  bounds='[]' callers get silent miscounts and a hard 500 on singleton ranges"
"22247","2026-05-20T21:32:34Z","22248","EXCLUDED","2a no test file in diff","Custom field detail page shows internal model name for related_object_type instead of verbose name"
"22163","2026-05-20T16:27:11Z","22166","SURVIVOR","","CircuitTerminationForm raises ValueError: has no field named 'termination_id' when termination_type is set but the target object is blank"
"22236","2026-05-19T13:09:31Z","22238","EXCLUDED","2a no test file in diff","TableConfigSerializer drops `changelog_message`"
"22208","2026-05-18T23:24:44Z","22215","SURVIVOR","","JobFilterSet missing `user_id` FK filter"
"22207","2026-05-18T19:40:29Z","22214","SURVIVOR","","TableConfigType GraphQL type missing explicit `object_type` annotation"
"22190","2026-05-18T17:28:03Z","22221","EXCLUDED","2a no test file in diff","Tenant and Tenant Group are missing in Circuits Group Configure Table"
"22227","2026-05-18T16:40:53Z","22230","SURVIVOR","","Detailed IP-address view doesn't seem right when an IP has multiple NAT assignments"
"22209","2026-05-18T16:26:19Z","22217","SURVIVOR","","CableTerminationFilterSet missing `cable_id` FK filter"
"22206","2026-05-18T12:30:52Z","22213","SURVIVOR","","TableConfig.clean() raises TypeError when `ordering` is None"
"22202","2026-05-18T12:29:47Z","22220","SURVIVOR","","SystemHousekeepingJob.check_for_new_releases() crashes when no stable releases are returned"
"22189","2026-05-14T19:25:30Z",,"EXCLUDED","4d not closed-as-completed","core.job not selectable as objecttype on relevant forms"
"22198","2026-05-14T14:42:14Z","22199","SURVIVOR","","ExportTemplate queryset should be restricted for REST API and list views"
"22079","2026-05-14T12:15:01Z","22170","SURVIVOR","","ExportTemplate `environment_params` can be configured to bypass template sandbox"
"22183","2026-05-14T12:07:40Z","22186","SURVIVOR","","Saving an unchanged WirelessLink creates spurious change-log entries for `interface_b`"
"22081","2026-05-13T15:38:19Z","22160","SURVIVOR","","TokenViewSet.create() does not return v2 token plaintext"
"22055","2026-05-08T11:59:46Z","22106","EXCLUDED","2a no test file in diff","API exceptions swallowed by middleware  never reported to Sentry"
"21934","2026-05-07T18:33:05Z","22018","EXCLUDED","2a no test file in diff","Striped table rows override interface-type row highlighting on Device Interfaces (Virtual/LAG)  inconsistent styling"
"21684","2026-05-05T15:21:52Z",,"EXCLUDED","4d not closed-as-completed","Editing IP when adding bulk IP Addresses"
"21364","2026-05-04T22:56:47Z",,"EXCLUDED","4d not closed-as-completed","The POST /api/extras/scripts/ endpoint is broken"
"22084","2026-05-04T15:51:27Z","22086","EXCLUDED","2a no test file in diff","OpenAPI `Interface.cable_end` is required and non-nullable but returns `null` for unconnected interfaces"
"22034","2026-05-01T18:39:13Z","22063","EXCLUDED","2a no test file in diff","dcim.0228_rack_group fails because of existing database objects"
"22040","2026-04-29T22:50:21Z",,"EXCLUDED","4d not closed-as-completed","Module bay description not populated from template when installing a module"
"22029","2026-04-29T20:36:27Z","22035","SURVIVOR","","Setting an `asset_tag` to an empty string on more than one device raises an IntegrityError"
"22031","2026-04-29T17:42:59Z","22037","EXCLUDED","2a no test file in diff","Add prefix to VLAN ""Field 'id' expected a number but got 'None'."""
"22005","2026-04-28T18:20:03Z","22022","SURVIVOR","","Query for connected interfaces shown cabled interfaces"
"21990","2026-04-28T17:02:58Z","22015","SURVIVOR","","Device is being deleted from virtual machines"
"21996","2026-04-28T16:57:42Z",,"EXCLUDED","4d not closed-as-completed","Device render_config permission is unavailable"
"22002","2026-04-27T21:40:51Z","22009","EXCLUDED","2a no test file in diff","UI: Horizontal scroll missing for Parent Prefixes table on IP Address view"
"21995","2026-04-27T20:28:05Z","22017","EXCLUDED","2a no test file in diff","Contacts - Create & Add Another does not clear inputs"
"22010","2026-04-27T16:52:13Z",,"EXCLUDED","4d not closed-as-completed","Unable to set rack starting unit of 0"
"21989","2026-04-27T16:01:51Z","21994","SURVIVOR","","EventRule.action_data accepts non-object JSON, causing 500 on every object write"
"21917","2026-04-27T16:00:05Z","22006","SURVIVOR","","Rear port has multiple link peers when connected to an interface using trunk cable profile"
"21949","2026-04-27T12:35:47Z","21997","SURVIVOR","","Broken power modeling within a PDU"
"20736","2026-04-24T19:23:22Z",,"EXCLUDED","4d not closed-as-completed","Empty search result for interfaces, power-ports, power-outlets"
"21979","2026-04-24T13:21:28Z",,"EXCLUDED","4d not closed-as-completed","Scroll wheel controls both page scroll and increments values on entities with incremental numeric fields in Microsoft Edge"
"21985","2026-04-23T16:09:25Z","21986","EXCLUDED","2a no test file in diff","Color field missing from Front Ports edit form"
"21975","2026-04-22T15:56:32Z","21976","SURVIVOR","","CSV bulk export does not fully employ prefetching of related objects"
"21966","2026-04-20T19:11:49Z","21973","EXCLUDED","2a no test file in diff","OpenAPI schema for available-vlans endpoint documents wrong request body"
"21906","2026-04-20T17:32:48Z","21967","SURVIVOR","","REST API `POST`/`PATCH` request without a trailing slash causes an exception"
"21965","2026-04-20T14:29:14Z",,"EXCLUDED","4d not closed-as-completed","Modules without Script classes synced from datasources cannot be deleted"
"21658","2026-04-20T13:46:43Z","21956","EXCLUDED","2a no test file in diff","OpenAPI Spec / swagger docs: POST /api/ipam/prefixes/{id}/available-prefixes/ requestBody is incorrect"
